gene	 prob_haploinsufficient 
RELN	 1.0000000 
PHF2	 1.0000000 
MYO9B	 1.0000000 
PSME4	 1.0000000 
SF3B3	 1.0000000 
KDM2B	 1.0000000 
PRPF8	 1.0000000 
SYMPK	 1.0000000 
TEK	 1.0000000 
ARHGEF12	 1.0000000 
PKD1	 1.0000000 
PITPNM2	 1.0000000 
PTPRT	 1.0000000 
PDS5B	 1.0000000 
DST	 1.0000000 
WDR7	 1.0000000 
TNIK	 1.0000000 
NOL6	 1.0000000 
ATP2C1	 1.0000000 
MLLT10	 1.0000000 
UBE3C	 1.0000000 
ACAN	 1.0000000 
SYCP2	 1.0000000 
SHANK1	 1.0000000 
MAP3K4	 1.0000000 
MED12L	 1.0000000 
FAT4	 1.0000000 
CEP350	 1.0000000 
LPHN3	 1.0000000 
NAV3	 1.0000000 
MTOR	 1.0000000 
PRRC2A	 1.0000000 
PHF20L1	 1.0000000 
CUX2	 1.0000000 
ARID4B	 1.0000000 
LPHN1	 1.0000000 
DIDO1	 1.0000000 
PTPRF	 1.0000000 
ASAP1	 1.0000000 
PRRC2B	 1.0000000 
DSCAM	 1.0000000 
RNF31	 1.0000000 
KIAA2018	 1.0000000 
NOS1	 1.0000000 
COL4A5	 1.0000000 
TENM2	 1.0000000 
SPTBN4	 1.0000000 
DOCK9	 1.0000000 
CEP170	 1.0000000 
TNS3	 1.0000000 
MAP1A	 1.0000000 
SCAF11	 1.0000000 
TENM1	 1.0000000 
SEC24B	 1.0000000 
SOGA1	 1.0000000 
ATRN	 1.0000000 
PDS5A	 1.0000000 
ROCK1	 1.0000000 
RAPGEF2	 1.0000000 
ANKRD12	 1.0000000 
XRN1	 1.0000000 
DNAJC13	 1.0000000 
NEDD4L	 1.0000000 
LAMC1	 1.0000000 
KIAA0368	 1.0000000 
ASXL3	 1.0000000 
VCAN	 1.0000000 
SIPA1L3	 1.0000000 
SETDB1	 1.0000000 
ACIN1	 1.0000000 
CLASP2	 1.0000000 
HERC2	 1.0000000 
COL1A2	 1.0000000 
CACNA1I	 1.0000000 
DMXL1	 1.0000000 
ARHGAP21	 1.0000000 
SMARCA2	 1.0000000 
KIAA1244	 1.0000000 
NFAT5	 1.0000000 
FBN2	 1.0000000 
RIMS2	 1.0000000 
SETD2	 1.0000000 
PTPRC	 1.0000000 
GLG1	 1.0000000 
ATAD5	 1.0000000 
GCN1L1	 1.0000000 
EP400	 1.0000000 
WNK2	 1.0000000 
CACNA1G	 1.0000000 
ZC3H13	 1.0000000 
CSMD1	 1.0000000 
IGF2R	 1.0000000 
FRY	 1.0000000 
WDR33	 1.0000000 
MLLT4	 1.0000000 
UBR2	 1.0000000 
CACNA1D	 1.0000000 
ROCK2	 1.0000000 
ARHGEF11	 1.0000000 
THSD7A	 1.0000000 
COL11A1	 1.0000000 
ACACA	 1.0000000 
NUMA1	 1.0000000 
AQR	 1.0000000 
ITSN1	 1.0000000 
BRWD1	 1.0000000 
USP32	 1.0000000 
PCNX	 1.0000000 
NUP205	 1.0000000 
HERC1	 1.0000000 
MN1	 0.9999900 
NHS	 0.9999900 
RPS6KA3	 0.9999900 
UBP1	 0.9999900 
PLCL2	 0.9999900 
ZDHHC5	 0.9999900 
LUC7L3	 0.9999900 
DNAJC14	 0.9999900 
TM9SF3	 0.9999900 
DLG3	 0.9999900 
SATB2	 0.9999900 
MAP3K2	 0.9999900 
ETV5	 0.9999900 
HNRNPM	 0.9999900 
PIAS1	 0.9999900 
DLL1	 0.9999900 
IGF2BP3	 0.9999900 
EIF4B	 0.9999900 
CUL4A	 0.9999900 
PRMT5	 0.9999900 
DDX17	 0.9999900 
VCP	 0.9999900 
RALGPS1	 0.9999900 
KAT7	 0.9999900 
PRICKLE1	 0.9999900 
CTNNB1	 0.9999900 
RANBP9	 0.9999900 
FERMT2	 0.9999900 
PTPN6	 0.9999900 
XRCC5	 0.9999900 
RFX4	 0.9999900 
TLE4	 0.9999900 
PAN3	 0.9999900 
CMIP	 0.9999900 
BCORL1	 0.9999900 
AHR	 0.9999900 
OCRL	 0.9999900 
PCIF1	 0.9999900 
XPR1	 0.9999900 
MARK2	 0.9999900 
INTS10	 0.9999900 
TLK1	 0.9999900 
ZNF608	 0.9999900 
GABBR2	 0.9999900 
SFSWAP	 0.9999900 
TMEM63B	 0.9999900 
MKL2	 0.9999900 
DAGLA	 0.9999900 
ARMC8	 0.9999900 
EIF4ENIF1	 0.9999900 
DPP10	 0.9999900 
CIC	 0.9999900 
CTNND1	 0.9999900 
PACS1	 0.9999900 
NCAM1	 0.9999900 
HNRNPUL1	 0.9999900 
PRDM16	 0.9999900 
STAT1	 0.9999900 
JARID2	 0.9999900 
USP37	 0.9999900 
PAXBP1	 0.9999900 
WNK3	 0.9999900 
ARHGAP31	 0.9999900 
SIN3B	 0.9999900 
KIAA0232	 0.9999900 
GLI3	 0.9999900 
PIK3CD	 0.9999900 
OSBPL6	 0.9999900 
USP19	 0.9999900 
CAMSAP2	 0.9999900 
TRAPPC10	 0.9999900 
MORC2	 0.9999900 
ATP9A	 0.9999900 
RBM27	 0.9999900 
RASGRF1	 0.9999900 
QSER1	 0.9999900 
KIF26B	 0.9999900 
NEURL4	 0.9999900 
NFASC	 0.9999900 
CCAR1	 0.9999900 
KDM3A	 0.9999900 
RP11-1055B8.7	 0.9999900 
SLIT1	 0.9999900 
PCNXL3	 0.9999900 
PLXNA4	 0.9999900 
KIF13A	 0.9999900 
RALGAPA1	 0.9999900 
MUC5B	 0.9999900 
LRP2	 0.9999900 
RYR2	 0.9999900 
ZNF777	 0.9999800 
HNRNPK	 0.9999800 
CCT3	 0.9999800 
GATAD2B	 0.9999800 
PPP3CB	 0.9999800 
TAB2	 0.9999800 
DDX5	 0.9999800 
CARM1	 0.9999800 
IQSEC2	 0.9999800 
ZNF592	 0.9999800 
SUZ12	 0.9999800 
NPLOC4	 0.9999800 
NRBP1	 0.9999800 
PTPN11	 0.9999800 
DLGAP3	 0.9999800 
ARHGEF6	 0.9999800 
FAM120C	 0.9999800 
CACTIN	 0.9999800 
PELP1	 0.9999800 
KCNQ2	 0.9999800 
LARP4B	 0.9999800 
EPC2	 0.9999800 
GRIPAP1	 0.9999800 
KANSL3	 0.9999800 
ALG13	 0.9999800 
KIF2A	 0.9999800 
GRAMD4	 0.9999800 
FOXP1	 0.9999800 
MKLN1	 0.9999800 
ABL1	 0.9999800 
GPHN	 0.9999800 
BRPF3	 0.9999800 
ZZZ3	 0.9999800 
PAPOLA	 0.9999800 
ADRBK1	 0.9999800 
PNISR	 0.9999800 
MGAT5	 0.9999800 
DNM2	 0.9999800 
GRIN2A	 0.9999800 
TTC7B	 0.9999800 
THRAP3	 0.9999800 
BMPR2	 0.9999800 
PTPRA	 0.9999800 
GRIK3	 0.9999800 
IPO13	 0.9999800 
KIF4A	 0.9999800 
AP1G1	 0.9999800 
ASTN1	 0.9999800 
MAP3K1	 0.9999800 
JAK1	 0.9999800 
SENP6	 0.9999800 
ANKS1B	 0.9999800 
SMG7	 0.9999800 
ADAMTS6	 0.9999800 
ATP13A3	 0.9999800 
FNDC3A	 0.9999800 
PTPRM	 0.9999800 
CACNA1B	 0.9999800 
CELSR3	 0.9999800 
FBXL19	 0.9999700 
CREBRF	 0.9999700 
HDAC2	 0.9999700 
SP1	 0.9999700 
MAPK8IP2	 0.9999700 
ARCN1	 0.9999700 
COPS2	 0.9999700 
SALL4	 0.9999700 
PSMD3	 0.9999700 
ZNF148	 0.9999700 
PPP2R5E	 0.9999700 
TAF3	 0.9999700 
RANBP3	 0.9999700 
AFTPH	 0.9999700 
WDR43	 0.9999700 
CLK2	 0.9999700 
ARIH1	 0.9999700 
MLLT6	 0.9999700 
LMTK3	 0.9999700 
EPHB2	 0.9999700 
DDX21	 0.9999700 
AGO3	 0.9999700 
SGIP1	 0.9999700 
CLIP2	 0.9999700 
USP15	 0.9999700 
OTUD4	 0.9999700 
ACTN1	 0.9999700 
ITCH	 0.9999700 
SYCP1	 0.9999700 
SETD5	 0.9999700 
CACNA2D2	 0.9999700 
DCHS1	 0.9999700 
BTK	 0.9999600 
LMNB2	 0.9999600 
PHEX	 0.9999600 
TFCP2L1	 0.9999600 
SAMD4B	 0.9999600 
CNOT4	 0.9999600 
API5	 0.9999600 
GRIN2D	 0.9999600 
USP11	 0.9999600 
NOP2	 0.9999600 
WWC3	 0.9999600 
FXR2	 0.9999600 
CNKSR2	 0.9999600 
ZC3H11A	 0.9999600 
PTPN12	 0.9999600 
PARP6	 0.9999600 
ZNF423	 0.9999600 
ANKIB1	 0.9999600 
ST5	 0.9999600 
ASAP2	 0.9999600 
AFF3	 0.9999600 
FAM135B	 0.9999600 
PRDM2	 0.9999600 
TTC17	 0.9999600 
TCERG1	 0.9999600 
PRPF19	 0.9999500 
TBL1XR1	 0.9999500 
PAFAH1B1	 0.9999500 
RNF38	 0.9999500 
MAML1	 0.9999500 
SP3	 0.9999500 
ZNF217	 0.9999500 
ESCO1	 0.9999500 
PRKCD	 0.9999500 
EEF2	 0.9999500 
NDST1	 0.9999500 
ARHGEF7	 0.9999500 
NFATC2	 0.9999500 
CDC73	 0.9999500 
SOX5	 0.9999500 
PRKD2	 0.9999500 
SUGP2	 0.9999500 
DAB2IP	 0.9999500 
BRAF	 0.9999500 
UBN1	 0.9999500 
RAPGEF1	 0.9999500 
COL6A1	 0.9999500 
CARD11	 0.9999500 
KIF5A	 0.9999500 
TMEM131	 0.9999500 
NAV2	 0.9999500 
FAT3	 0.9999500 
SVEP1	 0.9999500 
SMU1	 0.9999400 
CTIF	 0.9999400 
ABCB7	 0.9999400 
WBP11	 0.9999400 
ITPKB	 0.9999400 
CTCF	 0.9999400 
LIN54	 0.9999400 
ENAH	 0.9999400 
JADE2	 0.9999400 
UNK	 0.9999400 
FURIN	 0.9999400 
RFWD2	 0.9999400 
STAT5A	 0.9999400 
COPB1	 0.9999400 
FOXP2	 0.9999400 
APC2	 0.9999400 
CELSR1	 0.9999400 
FLNC	 0.9999400 
CELSR2	 0.9999400 
HNRNPH1	 0.9999300 
UTP15	 0.9999300 
EBF3	 0.9999300 
SLC6A1	 0.9999300 
ANAPC2	 0.9999300 
PPP2R5D	 0.9999300 
SNAP91	 0.9999300 
BTBD11	 0.9999300 
CYLD	 0.9999300 
ATF7IP	 0.9999300 
FAM193A	 0.9999300 
UBN2	 0.9999300 
COG3	 0.9999300 
IGSF1	 0.9999300 
VAV1	 0.9999300 
KIAA1468	 0.9999300 
ARFGEF2	 0.9999300 
CAD	 0.9999300 
DOPEY1	 0.9999300 
RCOR1	 0.9999200 
SUFU	 0.9999200 
RUVBL2	 0.9999200 
MDM4	 0.9999200 
TIAL1	 0.9999200 
SFPQ	 0.9999200 
DDX26B	 0.9999200 
GGA1	 0.9999200 
EFEMP1	 0.9999200 
ZNF516	 0.9999200 
NCL	 0.9999200 
ZER1	 0.9999200 
ATN1	 0.9999200 
SMEK1	 0.9999200 
PITPNM3	 0.9999200 
ZNF512B	 0.9999200 
SF3B2	 0.9999200 
RORB	 0.9999100 
NLK	 0.9999100 
DPYSL5	 0.9999100 
TIPARP	 0.9999100 
ZBTB4	 0.9999100 
MAPKAP1	 0.9999100 
EXOC5	 0.9999100 
IREB2	 0.9999100 
GABBR1	 0.9999100 
MAST3	 0.9999100 
ISY1	 0.9999000 
CDH11	 0.9999000 
PLK2	 0.9999000 
ARHGAP30	 0.9999000 
AGO4	 0.9999000 
IPO9	 0.9999000 
SMC2	 0.9999000 
KPNA4	 0.9998900 
USP3	 0.9998900 
ZDHHC17	 0.9998900 
HCN1	 0.9998900 
HCFC2	 0.9998900 
DLGAP2	 0.9998900 
SEMA3F	 0.9998900 
REV1	 0.9998900 
CACNA2D1	 0.9998900 
TOP2B	 0.9998900 
UBXN7	 0.9998800 
SLC17A7	 0.9998800 
PPP3CA	 0.9998800 
PRKCE	 0.9998800 
ARHGAP23	 0.9998800 
STAT5B	 0.9998800 
ARHGAP44	 0.9998800 
EIF4A1	 0.9998700 
FBRS	 0.9998700 
PSMD11	 0.9998700 
MTF2	 0.9998700 
STIP1	 0.9998700 
SORT1	 0.9998700 
SRCIN1	 0.9998700 
RNF111	 0.9998700 
LATS1	 0.9998700 
MAML2	 0.9998700 
RNF40	 0.9998700 
PTK2	 0.9998700 
PIAS4	 0.9998600 
ACTR3	 0.9998600 
DDX3X	 0.9998600 
GSPT1	 0.9998600 
SYK	 0.9998600 
LRRC41	 0.9998600 
PDE10A	 0.9998600 
DNAJC6	 0.9998600 
JAKMIP1	 0.9998600 
KDM7A	 0.9998600 
EIF4A3	 0.9998500 
PSMC2	 0.9998500 
DAZAP1	 0.9998500 
PRKAR1A	 0.9998500 
RORC	 0.9998500 
OPHN1	 0.9998500 
ZNF800	 0.9998500 
DPF2	 0.9998500 
KLHL2	 0.9998500 
PRKCG	 0.9998500 
EVI5L	 0.9998500 
WDR48	 0.9998500 
RAPH1	 0.9998500 
MORC3	 0.9998500 
FMNL1	 0.9998500 
THBS1	 0.9998500 
CAMSAP1	 0.9998500 
TP53BP1	 0.9998500 
BOD1L1	 0.9998500 
RPL4	 0.9998400 
PSMD12	 0.9998400 
PDZD8	 0.9998400 
SOX6	 0.9998400 
KCNH4	 0.9998400 
FGFR1	 0.9998400 
MAML3	 0.9998400 
AGAP1	 0.9998400 
RARB	 0.9998300 
ZBTB47	 0.9998300 
ZNF131	 0.9998300 
UTP14A	 0.9998300 
MAPK8IP1	 0.9998300 
EIF3D	 0.9998300 
UNC5A	 0.9998300 
ATP7A	 0.9998300 
LRP8	 0.9998300 
FLT1	 0.9998300 
ZNFX1	 0.9998300 
AKAP6	 0.9998300 
PTPRS	 0.9998300 
CPSF6	 0.9998200 
CDK19	 0.9998200 
DLL4	 0.9998200 
BRSK1	 0.9998200 
BAI2	 0.9998200 
KDR	 0.9998200 
HECW1	 0.9998200 
CYTH1	 0.9998100 
RBM17	 0.9998100 
MDM2	 0.9998100 
RSPRY1	 0.9998100 
CNOT2	 0.9998100 
RBBP5	 0.9998100 
NFKBIZ	 0.9998100 
RBM39	 0.9998100 
TPX2	 0.9998100 
