EnsemblGene	HGNC	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000060558	GNA15	502.7537814	1.719768094	0.537344188	2.947973522	0.003198645	0.262983887
ENSG00000169129	AFAP1L2	270.6302138	1.716344747	0.536781224	2.892777727	0.003818514	0.281276348
ENSG00000105976	MET	93.05716613	1.707715095	0.496687125	2.543374724	0.010978742	0.508568521
ENSG00000123411	IKZF4	82.8607286	1.693186185	0.533681041	3.185590578	0.001444589	0.163480786
ENSG00000156127	BATF	836.0530654	1.687326131	0.376741356	4.454799644	8.40E-06	0.004921465
ENSG00000131153	GINS2	62.70326434	1.676820667	0.536186214	3.06137273	0.002203246	0.202039189
ENSG00000107281	NPDC1	167.706497	1.631586468	0.515441709	3.074965214	0.002105271	0.197658285
ENSG00000138185	ENTPD1	947.3466374	1.627763838	0.538265846	2.733278268	0.006270733	0.3810613
ENSG00000186891	TNFRSF18	326.6299109	1.627427915	0.512133748	3.038741544	0.002375686	0.212081083
ENSG00000124145	SDC4	240.0409228	1.574886675	0.478164157	3.260332068	0.001112818	0.148581197
ENSG00000112984	KIF20A	31.33753155	1.571710185	0.506741315	2.275840908	0.022855533	0.719097226
ENSG00000235576	AC092580.4	402.780845	1.568067686	0.499342204	3.075063005	0.002104581	0.197658285
ENSG00000176890	TYMS	275.0740496	1.566400207	0.51515135	2.899968415	0.003732003	0.278636611
ENSG00000171659	GPR34	157.9772701	1.55326692	0.529487232	2.855153437	0.004301604	0.300703112
ENSG00000131061	ZNF341	74.39028526	1.552580005	0.524087191	3.029823548	0.002446967	0.215588947
ENSG00000173905	GOLIM4	190.4805834	1.540788274	0.485528352	3.074185928	0.002110778	0.197658285
ENSG00000152492	CCDC50	260.0617776	1.521085163	0.473121706	3.267298021	0.001085793	0.148581197
ENSG00000240350	AC017002.1	42.6498728	1.515018414	0.521852419	2.729719029	0.006338833	0.381556242
ENSG00000147650	LRP12	62.95635282	1.508827454	0.535678558	2.653675751	0.00796203	0.432774831
ENSG00000280721	AC133644.2	187.4976895	1.507364386	0.444477342	3.324074119	0.000887126	0.13485506
ENSG00000187862	TTC24	111.9306775	1.505576484	0.466059256	3.136211392	0.001711458	0.178840721
ENSG00000139531	SUOX	65.01409834	1.49259494	0.538627999	2.482957883	0.013029649	0.550273601
ENSG00000068489	PRR11	77.17788357	1.490511801	0.52192347	2.796739279	0.005162117	0.33393123
ENSG00000215788	TNFRSF25	590.3368091	1.486987931	0.423907431	3.471366388	0.000517817	0.093068967
ENSG00000211752	TRBV27	307.2156373	1.481909403	0.535795076	2.704990846	0.006830627	0.392572037
ENSG00000091972	CD200	135.4819032	1.473494801	0.535670162	3.068476013	0.002151536	0.198648667
ENSG00000163359	COL6A3	186.1353581	1.468398968	0.539383155	2.579532682	0.00989341	0.487526395
ENSG00000133612	AGAP3	177.7538738	1.453368272	0.495791547	2.911903525	0.003592336	0.275140256
ENSG00000127561	SYNGR3	325.8246574	1.450565693	0.408170705	3.534110498	0.00040915	0.083388583
ENSG00000257453	RP11-290L1.3	462.1819134	1.448828287	0.45897054	3.156382433	0.001597393	0.171159639
ENSG00000003147	ICA1	84.79517689	1.429739975	0.53856671	2.371856741	0.017698952	0.640047086
ENSG00000114790	ARHGEF26	27.10630866	1.424065269	0.487314424	2.535143637	0.011240123	0.512663338
ENSG00000112667	DNPH1	313.1534224	1.421819402	0.399172383	3.517425138	0.000435755	0.086286497
ENSG00000188130	MAPK12	42.03637838	1.417780108	0.534257669	2.5693435	0.01018914	0.494063351
ENSG00000111057	KRT18	592.7141795	1.411788495	0.529831813	2.129260707	NA	NA
ENSG00000102471	NDFIP2	585.7608687	1.397930541	0.292315781	4.768919925	1.85E-06	0.001387064
ENSG00000085117	CD82	1616.016115	1.388380261	0.399558122	3.44534148	0.000570338	0.099846252
ENSG00000067113	PLPP1	381.9576428	1.388266693	0.468109938	2.919153172	0.003509837	0.273483266
ENSG00000157456	CCNB2	112.9400786	1.386178852	0.537918565	2.345587913	0.018997098	0.653267552
ENSG00000117643	MAN1C1	222.4576797	1.381295033	0.501762275	2.642990984	0.008217722	0.441496893
ENSG00000273148	RP5-1068E13.7	23.1989945	1.369770408	0.538468859	3.243875484	0.001179153	0.152284962
ENSG00000136205	TNS3	805.7243784	1.363806346	0.535983495	2.273318182	0.023007013	0.719097226
ENSG00000089685	BIRC5	155.1037357	1.358480106	0.536555813	2.402050399	0.016303462	0.610474079
ENSG00000271447	MMP28	55.69513627	1.347148687	0.441572711	2.479829614	0.013144518	0.550273601
ENSG00000138031	ADCY3	607.2416438	1.337722479	0.464435019	2.813190444	0.004905259	0.326901562
ENSG00000089012	SIRPG	1548.955405	1.337051097	0.397444162	3.319903	0.000900487	0.13485506
ENSG00000039068	CDH1	138.9161225	1.33587827	0.517941349	1.850010068	NA	NA
ENSG00000078114	NEBL	63.98915745	1.329108859	0.506777224	1.916637832	0.055283958	0.993014518
ENSG00000177494	ZBED2	243.1611274	1.324903351	0.537107968	2.219096979	0.026480128	0.748327294
ENSG00000198483	ANKRD35	70.07140843	1.324439812	0.539256964	2.239225359	0.025141257	0.731974382
ENSG00000166508	MCM7	742.3144576	1.320589268	0.414531821	3.177137996	0.001487362	0.165699553
ENSG00000211779	TRAV5	150.5192305	1.31887909	0.537193556	2.523760395	0.011610704	0.522236364
ENSG00000100918	REC8	452.5975945	1.311665999	0.355315023	3.669920914	0.000242626	0.054678892
ENSG00000105852	PON3	36.43927687	1.305709953	0.495028676	2.186202992	0.028800757	0.782730263
ENSG00000198400	NTRK1	79.8978625	1.30207784	0.494214625	2.490746559	0.012747501	0.545563149
ENSG00000107036	RIC1	324.1216774	1.301920241	0.423556916	3.114050348	0.00184538	0.189891008
ENSG00000126246	IGFLR1	819.2438654	1.293522924	0.412329841	3.103164924	0.001914629	0.194054137
ENSG00000136856	SLC2A8	294.7343083	1.291877676	0.395937871	3.252442308	0.001144178	0.151211002
ENSG00000123374	CDK2	262.0781453	1.285336724	0.457914808	2.804690793	0.005036487	0.329659306
ENSG00000140284	SLC27A2	441.1179521	1.276850874	0.409439238	3.074632233	0.002107623	0.197658285
ENSG00000270164	LINC01480	30.98196906	1.274770554	0.492370896	2.461182707	0.013847983	0.574550685
ENSG00000166002	SMCO4	133.6151824	1.272927313	0.537556217	2.396289367	0.016562009	0.616728971
ENSG00000138386	NAB1	987.8354076	1.271061223	0.388099457	3.236797836	0.00120879	0.152284962
ENSG00000136848	DAB2IP	45.23629919	1.269720402	0.521229831	2.07073325	0.038383731	0.88597422
ENSG00000143379	SETDB1	168.98543	1.265206541	0.433723251	2.912468556	0.003585843	0.275140256
ENSG00000138175	ARL3	186.1465031	1.247032884	0.422335517	2.922757273	0.003469469	0.272034846
ENSG00000171840	NINJ2	300.2171503	1.245334636	0.516222877	2.357592724	0.018393861	0.644679142
ENSG00000171033	PKIA	195.3057611	1.242630179	0.534111544	2.194471683	0.028201517	0.775829501
ENSG00000132965	ALOX5AP	4597.885075	1.242173927	0.372732454	3.321523613	0.000895274	0.13485506
ENSG00000211812	TRAV26-2	83.02479434	1.2361227	0.491844805	1.997299515	NA	NA
ENSG00000162073	PAQR4	115.7787076	1.235929276	0.535660533	2.153955988	0.031243624	0.808376289
ENSG00000067225	PKM	4223.715597	1.235178893	0.329365375	3.743939551	0.000181157	0.045222218
ENSG00000067836	ROGDI	129.6536224	1.234853233	0.483743359	2.537403256	0.011167823	0.512663338
ENSG00000158747	NBL1	440.771543	1.2324021	0.421922366	2.887522186	0.003882892	0.282926417
ENSG00000173334	TRIB1	368.6598782	1.232271234	0.507107288	2.375458358	0.01752717	0.640047086
ENSG00000111424	VDR	174.6987209	1.229931522	0.52834562	2.236229888	0.025336716	0.733033712
ENSG00000178999	AURKB	80.50560908	1.227989052	0.527396453	2.126432859	0.033467234	0.837243162
ENSG00000204381	LAYN	708.9935097	1.227075532	0.525287475	2.033660832	0.041985804	0.905778571
ENSG00000124766	SOX4	189.7381445	1.221084042	0.524748498	2.115196906	0.034413169	0.847526691
ENSG00000128309	MPST	237.0384683	1.221032193	0.426864922	2.833705891	0.004601166	0.318070328
ENSG00000182197	EXT1	132.6289722	1.220851368	0.51085728	2.366193206	0.017972063	0.642608504
ENSG00000140564	FURIN	1013.430295	1.219694313	0.37998718	3.209168484	0.001331195	0.158800915
ENSG00000233355	CHRM3-AS2	308.6528361	1.217076783	0.521104502	2.247951642	0.024579274	0.724801393
ENSG00000072682	P4HA2	75.40569322	1.215195642	0.51764056	2.16775736	NA	NA
ENSG00000049249	TNFRSF9	2694.743268	1.214291107	0.480407748	2.431249611	0.015046844	0.589642227
ENSG00000102755	FLT1	79.97410009	1.212056137	0.534851801	2.170614326	0.029960338	0.791098644
ENSG00000176083	ZNF683	2163.579422	1.211269813	0.439816177	2.733572818	0.006265127	0.3810613
ENSG00000234964	FABP5P7	203.2012555	1.208741715	0.500447552	2.353315034	0.018606862	0.644782791
ENSG00000132563	REEP2	26.11778124	1.205862184	0.532327662	1.900896606	0.057315557	0.99982942
ENSG00000059377	TBXAS1	149.1489083	1.203134227	0.534276619	2.371831183	0.017700176	0.640047086
ENSG00000168214	RBPJ	2949.718789	1.200713542	0.374033599	3.195981607	0.00139356	0.161371757
ENSG00000164626	KCNK5	428.775316	1.190655468	0.537507213	2.024829949	0.042884829	0.910374
ENSG00000151929	BAG3	1743.850735	1.183436853	0.502977164	2.28721966	0.022183005	0.710277691
ENSG00000130222	GADD45G	315.079334	1.183175414	0.505100185	2.272029482	0.02308473	0.719097226
ENSG00000125726	CD70	179.6788933	1.182339525	0.482465605	2.416959132	0.015650774	0.597655627
ENSG00000188389	PDCD1	3910.259682	1.181011048	0.450459674	2.598740001	0.009356661	0.471599845
ENSG00000163898	LIPH	22.966553	1.178433675	0.505128855	2.211650176	0.026990846	0.758596959
ENSG00000124191	TOX2	302.7104056	1.178264543	0.538661514	1.905186421	0.056755843	0.99982942
ENSG00000197822	OCLN	46.73952301	1.176388677	0.532618347	2.067234336	0.038712078	0.88597422
ENSG00000119392	GLE1	511.5195975	1.17490639	0.351974193	3.33449646	0.00085454	0.13240457
ENSG00000006468	ETV1	458.1639879	1.165683006	0.52174719	1.831995478	0.066952094	0.99982942
ENSG00000128604	IRF5	129.2587573	1.155434088	0.537898683	2.178030725	0.029403749	0.789566816
ENSG00000235314	LINC00957	41.54632522	1.154617184	0.515258576	2.224303956	0.026128001	0.743256535
ENSG00000114745	GORASP1	256.393319	1.154238225	0.52207913	2.270030027	0.023205761	0.719097226
ENSG00000173762	CD7	1566.325656	1.153472604	0.365362963	3.141203413	0.001682551	0.177193681
ENSG00000102575	ACP5	514.7265213	1.145490659	0.510477184	2.256432112	0.024043582	0.724801393
ENSG00000176371	ZSCAN2	63.00671574	1.143855205	0.528843166	2.295124529	0.021725989	0.705701995
ENSG00000170421	KRT8	564.0461849	1.143805464	0.490348987	1.680143969	0.092929308	0.99982942
ENSG00000164889	SLC4A2	415.7372891	1.143176433	0.427642226	2.665770332	0.007681215	0.424465324
ENSG00000186187	ZNRF1	468.6386064	1.142773776	0.497122897	2.181418507	0.029152476	0.787103337
ENSG00000181847	TIGIT	3233.816985	1.139538815	0.40203872	2.815518133	0.004869865	0.326901562
ENSG00000057657	PRDM1	2531.379431	1.137047874	0.388511388	2.92785463	0.003413096	0.270638422
ENSG00000104738	MCM4	558.8264873	1.13622099	0.535654162	2.034374769	0.041913824	0.905778571
ENSG00000131475	VPS25	363.5266688	1.132390522	0.42049905	2.679084372	0.007382379	0.412923105
ENSG00000107130	NCS1	98.51252085	1.129854943	0.530931572	1.979503656	0.047759328	0.945933836
ENSG00000051341	POLQ	29.28115299	1.128367829	0.536763322	2.038444266	0.041505523	0.90386826
ENSG00000136295	TTYH3	175.129978	1.125812281	0.510851511	2.095338441	0.036140918	0.866710291
ENSG00000135077	HAVCR2	2292.260395	1.124313292	0.437609517	2.504526185	0.012261553	0.53502266
ENSG00000198825	INPP5F	205.2031031	1.120820544	0.521891237	2.087150101	0.036874568	0.875121799
ENSG00000106211	HSPB1	914.2725023	1.116221923	0.508412574	2.136299749	0.032654989	0.832924922
ENSG00000174684	B4GAT1	53.5364378	1.115702676	0.520918639	2.58042901	0.009867764	0.487526395
ENSG00000146670	CDCA5	108.42212	1.112635778	0.538694414	1.985172134	0.047125323	0.944493343
ENSG00000105011	ASF1B	212.4010735	1.112500972	0.536545775	1.894503371	0.058158227	0.99982942
ENSG00000165672	PRDX3	1004.256462	1.110870033	0.406520663	2.724652179	0.006436926	0.385643381
ENSG00000149554	CHEK1	112.9193913	1.109421617	0.497270945	2.166529425	0.030270754	0.792329634
ENSG00000272917	RP11-705C15.5	55.42588332	1.108335576	0.539308655	1.982578441	0.047414538	0.945485156
ENSG00000100599	RIN3	516.709363	1.107917297	0.359164108	3.08607353	0.002028187	0.197658285
ENSG00000157303	SUSD3	383.1885908	1.104379539	0.446335206	2.442148561	0.014600137	0.584459024
ENSG00000172215	CXCR6	6210.119101	1.104233412	0.357213816	3.074086338	0.002111483	0.197658285
ENSG00000234883	MIR155HG	167.9258775	1.102783128	0.501537531	2.186217856	0.028799671	0.782730263
ENSG00000204397	CARD16	921.9341686	1.098791655	0.345483501	3.171749768	0.001515235	0.166059908
ENSG00000253522	MIR3142HG	26.74071021	1.098702914	0.456831497	2.946014242	0.003218976	0.262983887
ENSG00000196923	PDLIM7	185.3469896	1.095481971	0.516243518	2.077163412	0.03778648	0.881862698
ENSG00000223930	RP11-33A14.1	46.45391783	1.093380356	0.53633236	1.768818356	0.076924192	0.99982942
ENSG00000087495	PHACTR3	47.06439432	1.092910842	0.438258787	1.933255276	NA	NA
ENSG00000130309	COLGALT1	358.1494066	1.092300264	0.447516906	2.470130199	0.013506388	0.563672185
ENSG00000168061	SAC3D1	61.06269205	1.089050025	0.523082857	2.198696852	0.027899485	0.769090097
ENSG00000170442	KRT86	784.3176867	1.083858889	0.517915209	1.761680676	0.078123264	0.99982942
ENSG00000139289	PHLDA1	3331.067183	1.0821527	0.405071198	2.681856629	0.007321483	0.411223296
ENSG00000114738	MAPKAPK3	666.3082372	1.081493278	0.317407594	3.408347569	0.000653576	0.108767938
ENSG00000172568	FNDC9	86.44631971	1.081311496	0.503681925	1.840692424	0.065666645	0.99982942
ENSG00000159335	PTMS	184.2207637	1.079404305	0.474520193	2.23616783	0.02534078	0.733033712
ENSG00000100889	PCK2	227.1370376	1.076373184	0.455299319	2.347656702	0.018891925	0.652982419
ENSG00000224429	LINC00539	31.91242824	1.075444612	0.538944268	1.947660693	0.051455576	0.968818251
ENSG00000166803	KIAA0101	110.1188689	1.075217886	0.52312699	1.990767855	0.046506415	0.940587965
ENSG00000090889	KIF4A	91.21896111	1.067209545	0.483680431	1.9241148	0.054340195	0.987576899
ENSG00000169188	APEX2	258.6127126	1.064362895	0.378611786	2.803044035	0.005062276	0.329659306
ENSG00000076641	PAG1	1783.525741	1.064064086	0.273702153	3.884598748	0.000102499	0.032132253
ENSG00000087589	CASS4	610.1095633	1.06338169	0.467228895	2.267756032	0.023344081	0.719097226
ENSG00000111843	TMEM14C	469.1534536	1.057741407	0.406030696	2.59803035	0.009376021	0.471599845
ENSG00000235304	LINC01281	21.80309572	1.056982268	0.418021782	1.952231697	0.050910703	0.965536583
ENSG00000112118	MCM3	827.3549375	1.055621751	0.429228892	2.445505418	0.014464928	0.583987386
ENSG00000224799	RP11-445O16.3	32.45272585	1.054764073	0.510420958	1.855710782	0.063494793	0.99982942
ENSG00000244242	IFITM10	135.8828165	1.052260647	0.539363974	1.73801276	0.082208565	0.99982942
ENSG00000167664	TMIGD2	103.8759492	1.051732572	0.525478858	1.942301618	0.052100597	0.971391495
ENSG00000060982	BCAT1	120.5437921	1.047753025	0.520422003	1.89605806	0.057952368	0.99982942
ENSG00000107742	SPOCK2	3602.104768	1.045995998	0.320334204	3.260220387	0.001113257	0.148581197
ENSG00000145365	TIFA	287.92091	1.044904762	0.482081184	2.098969004	0.035819633	0.866710291
ENSG00000196230	TUBB	1529.092866	1.044663379	0.400904282	2.603853264	0.009218221	0.467148963
ENSG00000156398	SFXN2	113.5042772	1.044034539	0.534280991	1.873399607	0.061013224	0.99982942
ENSG00000154153	FAM134B	355.362433	1.043513588	0.432458048	2.398317392	0.016470587	0.615023567
ENSG00000137135	ARHGEF39	125.7795998	1.043410216	0.502336495	2.081315395	0.037405047	0.881862698
ENSG00000140525	FANCI	328.3259274	1.042502559	0.477685529	2.189742499	0.028542917	0.780443248
ENSG00000104427	ZC2HC1A	42.96861507	1.041931368	0.527922522	1.944447929	0.051841459	0.969328664
ENSG00000118242	MREG	159.1594227	1.041644148	0.518382472	1.992928012	0.04626933	0.940587965
ENSG00000184661	CDCA2	68.52616006	1.041126966	0.519614589	1.631662436	0.102750617	0.99982942
ENSG00000117632	STMN1	2529.183871	1.039943871	0.404593805	2.560759526	0.010444362	0.498553373
ENSG00000156299	TIAM1	197.5932194	1.034999356	0.539357373	1.778794989	0.075273379	0.99982942
ENSG00000102024	PLS3	112.6785237	1.034298993	0.503067209	1.40740179	0.159308281	0.99982942
ENSG00000078900	TP73	84.76393566	1.034157385	0.487787024	1.659146927	NA	NA
ENSG00000267120	AD000671.6	51.16775504	1.034074496	0.53935244	1.757901972	0.07876419	0.99982942
ENSG00000108179	PPIF	368.4309531	1.032477222	0.478264633	2.171920491	0.029861661	0.790835333
ENSG00000167513	CDT1	67.90936467	1.030488129	0.529935769	1.916552747	0.055294776	0.993014518
ENSG00000240535	CTD-2313F11.1	29.33308595	1.029623714	0.530579884	1.813880541	0.069696119	0.99982942
ENSG00000010030	ETV7	157.8570954	1.029413628	0.520268728	1.655669098	0.097788849	0.99982942
ENSG00000228113	AC003991.3	158.4266073	1.028465778	0.536862545	1.76054914	0.078314743	0.99982942
ENSG00000225756	DBH-AS1	57.01740746	1.026924318	0.517617542	1.686499017	0.091699724	0.99982942
ENSG00000135446	CDK4	410.9546283	1.023673237	0.398230386	2.555059287	0.010616971	0.503932298
ENSG00000122952	ZWINT	179.8381528	1.023374889	0.539338666	1.752153012	0.079747501	0.99982942
ENSG00000188191	PRKAR1B	91.03047906	1.023192256	0.524462572	1.978118259	0.047915367	0.946791496
ENSG00000105255	FSD1	79.5026775	1.022478039	0.50242327	1.846703687	0.064790097	0.99982942
ENSG00000186314	PRELID2	34.60865917	1.02207424	0.536256734	1.835912123	0.066370654	0.99982942
ENSG00000188848	BEND4	34.12441224	1.019834538	0.497266542	1.718805485	0.085649796	0.99982942
ENSG00000097021	ACOT7	372.808698	1.019235173	0.397411151	2.562819387	0.010382604	0.49806942
ENSG00000100162	CENPM	277.2020152	1.019059691	0.416357839	2.414233634	0.015768348	0.600444428
ENSG00000111319	SCNN1A	29.65765283	1.017888078	0.517756557	1.658753207	0.097165533	0.99982942
ENSG00000072832	CRMP1	16.32236499	1.016192191	0.443459163	2.990156409	0.002788346	0.236395648
ENSG00000074416	MGLL	219.3154616	1.015889614	0.449867266	2.253782373	0.024209862	0.724801393
ENSG00000120875	DUSP4	7632.18894	1.01462323	0.436629431	2.277198595	0.022774369	0.719097226
ENSG00000241468	ATP5J2	382.7495381	1.013620898	0.432230843	2.328526244	0.019884177	0.670096777
ENSG00000198964	SGMS1	775.3021072	1.011436684	0.378753803	2.662463705	0.007757093	0.425859399
ENSG00000088305	DNMT3B	25.17651754	1.009880537	0.491129899	1.536407859	0.12443838	0.99982942
ENSG00000124243	BCAS4	322.8080171	1.009230962	0.345916314	2.906014578	0.003660644	0.277221799
ENSG00000120280	CXorf21	67.27410548	1.008936499	0.504092223	1.69493391	0.090087959	0.99982942
ENSG00000185838	GNB1L	106.1582921	1.008087078	0.519078842	1.899934082	0.057441771	0.99982942
ENSG00000145623	OSMR	73.71938997	1.006960352	0.530933487	1.576444643	NA	NA
ENSG00000169756	LIMS1	704.8698338	1.006545557	0.444961976	2.229196892	0.025800807	0.741566912
ENSG00000088325	TPX2	242.1588201	1.00379461	0.538075334	1.710161948	0.08723593	0.99982942
ENSG00000273445	RP11-1399P15.1	23.80767397	1.002687337	0.538536528	1.698475522	0.089418049	0.99982942
ENSG00000156970	BUB1B	141.0400354	1.001328201	0.538310373	1.726205148	0.084310512	0.99982942
ENSG00000139193	CD27	1301.002109	1.001044153	0.292603005	3.411547446	0.000645953	0.108767938
ENSG00000117090	SLAMF1	650.75794	1.000570591	0.428716286	2.343214112	0.019118408	0.655766258
ENSG00000131435	PDLIM4	276.1375408	1.000280475	0.454393607	1.741186389	0.081650912	0.99982942
ENSG00000111669	TPI1	5871.590122	0.998482835	0.296153108	3.36625265	0.000761969	0.120839294
ENSG00000177697	CD151	233.5097814	0.997155359	0.423777823	2.358845211	0.0183319	0.644679142
ENSG00000153292	ADGRF1	59.09287121	0.997152851	0.513891298	1.621049871	0.105006944	0.99982942
ENSG00000116299	KIAA1324	225.5444415	0.996800515	0.489385326	2.010411095	0.044387697	0.924800862
ENSG00000143797	MBOAT2	56.37728702	0.996388425	0.538150501	1.727936475	0.083999614	0.99982942
ENSG00000135441	BLOC1S1	573.1064537	0.994416552	0.363098367	2.73302071	0.006275639	0.3810613
ENSG00000237352	LINC01358	64.93458858	0.994380153	0.532487342	1.778071112	0.075392176	0.99982942
ENSG00000110777	POU2AF1	37.19714624	0.9918411	0.527716819	1.591530454	0.111490247	0.99982942
ENSG00000211710	TRBV4-1	238.6950202	0.989636129	0.539377564	1.60967977	0.107467784	0.99982942
ENSG00000012048	BRCA1	104.4838317	0.98820044	0.533867114	2.008679496	0.044571135	0.92718965
ENSG00000107789	MINPP1	156.010729	0.985072663	0.490628912	2.046921989	0.040665745	0.897175513
ENSG00000071575	TRIB2	438.8729719	0.984093168	0.440739774	2.220353745	0.026394764	0.747481981
ENSG00000043591	ADRB1	81.22642318	0.983906581	0.537989729	2.091620739	0.036472456	0.870670042
ENSG00000041982	TNC	29.94013776	0.982863277	0.48571923	1.473010159	0.140748297	0.99982942
ENSG00000162714	ZNF496	226.8433921	0.981263383	0.417666153	2.326791797	0.019976349	0.671524158
ENSG00000108479	GALK1	199.0256677	0.978060498	0.422505621	2.306473921	0.021084166	0.693074501
ENSG00000150637	CD226	1002.661328	0.977254497	0.388649701	2.516116705	0.011865589	0.525593567
ENSG00000104884	ERCC2	75.22206706	0.976718833	0.528750518	1.7787574	0.075279544	0.99982942
ENSG00000159307	SCUBE1	250.0119461	0.976529045	0.514158737	1.812739031	0.069872081	0.99982942
ENSG00000111665	CDCA3	60.18441348	0.975881841	0.518116476	1.781717126	0.074795373	0.99982942
ENSG00000137804	NUSAP1	594.5305911	0.974814588	0.460414526	2.077092251	0.037793046	0.881862698
ENSG00000171159	C9orf16	298.856362	0.971721765	0.390265634	2.481331681	0.013089251	0.550273601
ENSG00000183010	PYCR1	61.32828999	0.971255142	0.445902845	1.461593894	0.143852529	0.99982942
ENSG00000189057	FAM111B	73.36631679	0.971164318	0.520258912	1.49621363	0.134597994	0.99982942
ENSG00000167377	ZNF23	107.4815638	0.970906375	0.528362858	1.826660296	0.067750861	0.99982942
ENSG00000033170	FUT8	535.7961168	0.970363998	0.369270651	2.618485116	0.008832114	0.464393848
ENSG00000226979	LTA	123.7845095	0.969600618	0.538865338	1.762764012	0.077940299	0.99982942
ENSG00000233093	LINC00892	150.2603735	0.967183959	0.529921192	1.960131223	0.049980455	0.958564813
ENSG00000099812	MISP	28.30450499	0.967119622	0.487127748	1.351651445	0.176486845	0.99982942
ENSG00000246089	RP11-115C21.2	34.36401124	0.966537903	0.53789933	1.669527724	0.095012841	0.99982942
ENSG00000050405	LIMA1	288.5006266	0.965973432	0.467144085	2.06776078	0.038662523	0.88597422
ENSG00000170265	ZNF282	74.53397985	0.965036665	0.523591439	1.814192006	0.06964817	0.99982942
ENSG00000100297	MCM5	815.8139704	0.964634921	0.469296219	2.043482352	0.041004713	0.897459267
ENSG00000227097	RPS28P7	70.97341437	0.96187421	0.524906811	1.76799013	0.077062554	0.99982942
ENSG00000106268	NUDT1	181.9364111	0.95956101	0.48605813	1.939732524	0.052412205	0.973163251
ENSG00000006042	TMEM98	30.36271862	0.957363059	0.527839883	1.476023652	0.139937543	0.99982942
ENSG00000154839	SKA1	134.7201501	0.956774342	0.538663454	1.788171272	0.07374838	0.99982942
ENSG00000175283	DOLK	134.8829081	0.956524205	0.485643679	1.957652476	0.050270805	0.959844838
ENSG00000244045	TMEM199	391.1677939	0.956506085	0.416941226	2.305625375	0.021131574	0.693074501
ENSG00000146232	NFKBIE	448.1943486	0.955773299	0.456925592	2.074861676	0.037999356	0.883049265
ENSG00000137474	MYO7A	1301.630632	0.955564804	0.496023783	1.647585363	NA	NA
ENSG00000148773	MKI67	386.047029	0.955508337	0.538765469	1.768648905	0.076952484	0.99982942
ENSG00000134690	CDCA8	84.19366532	0.951773267	0.539189027	1.735268274	0.082693298	0.99982942
ENSG00000135972	MRPS9	230.1029824	0.950137001	0.418382719	2.279310269	0.022648628	0.719097226
ENSG00000111247	RAD51AP1	92.10247465	0.948561502	0.53333175	1.774107016	0.076045451	0.99982942
ENSG00000168268	NT5DC2	49.81698439	0.94834027	0.490936428	1.564775543	0.117635548	0.99982942
ENSG00000149257	SERPINH1	521.7597779	0.948016482	0.520605618	1.732964104	0.083102049	0.99982942
ENSG00000105088	OLFM2	22.96619857	0.946113591	0.457350572	1.58325628	0.113363063	0.99982942
ENSG00000012232	EXTL3	212.678918	0.944981513	0.489127764	1.921285055	0.05469578	0.98951454
ENSG00000173744	AGFG1	1118.167485	0.944844398	0.35133091	2.687379832	0.007201501	0.406323311
ENSG00000089692	LAG3	2935.886409	0.944732781	0.32311167	2.912818148	0.003581831	0.275140256
