Row.names	ens_gene	ext_gene	chromosome_name	start_position	end_position	strand	logFC	logCPM	PValue	FDR
ENSG00000196586	ENSG00000196586	MYO6	6	75749192	75919537	1	12.0295637001453	6.29251171204012	1.07533748049053e-07	2.80731357803616e-05
ENSG00000187522	ENSG00000187522	HSPA14	10	14838164	14871741	1	13.1051795658765	6.34819034300371	1.13284767825774e-07	2.91124152567266e-05
ENSG00000137871	ENSG00000137871	ZNF280D	15	56630181	56918571	-1	7.06700491855652	4.4861937728167	1.30934306302828e-07	3.31304082425018e-05
ENSG00000115956	ENSG00000115956	PLEK	2	68365173	68397453	1	12.2763307657921	5.88007348510968	1.44320171350595e-07	3.59641493667157e-05
ENSG00000210194	ENSG00000210194	MT-TE	MT	14674	14742	-1	-3.90020952730624	0.949646305677596	1.5656414171786e-07	3.84329916243827e-05
ENSG00000134461	ENSG00000134461	ANKRD16	10	5861617	5889906	-1	9.36933872330429	2.53151512904725	1.64359018801819e-07	3.97531291504929e-05
ENSG00000104331	ENSG00000104331	IMPAD1	8	56957933	56993844	-1	6.50436939173983	4.12620346143411	1.8264952957106e-07	4.29148116122175e-05
ENSG00000264522	ENSG00000264522	OTUD7B	1	149937812	150010676	-1	6.697466935788	3.82059453545937	1.82530849234895e-07	4.29148116122175e-05
ENSG00000123636	ENSG00000123636	BAZ2B	2	159318979	159616692	-1	4.16517979594053	5.64016213134523	1.87116492226476e-07	4.33451401077302e-05
ENSG00000210196	ENSG00000210196	MT-TP	MT	15956	16023	-1	-4.01854093935562	0.0719550561525719	2.26249371351512e-07	5.1682269591921e-05
ENSG00000030419	ENSG00000030419	IKZF2	2	212999691	213152427	-1	10.9523325244207	6.55894723349049	2.42845341422503e-07	5.47133880873411e-05
ENSG00000134539	ENSG00000134539	KLRD1	12	10226058	10329600	1	4.75078036621261	8.89063788081915	2.63190338288274e-07	5.78419424459592e-05
ENSG00000137713	ENSG00000137713	PPP2R1B	11	111726908	111766427	-1	9.92527576838536	6.99882419633617	2.6376516589329e-07	5.78419424459592e-05
ENSG00000117305	ENSG00000117305	HMGCL	1	23801885	23838620	-1	10.9528255570182	6.01862824076922	2.84579623190738e-07	6.15852771397114e-05
ENSG00000154945	ENSG00000154945	ANKRD40	17	50693190	50707924	-1	7.56593612437169	4.30712967998913	3.11912876059064e-07	6.66237801629017e-05
ENSG00000119820	ENSG00000119820	YIPF4	2	32277910	32316594	1	3.78801579522309	5.36455014242772	3.33765973867926e-07	6.94866958507061e-05
ENSG00000260031	ENSG00000260031	RPL10P14	16	50151280	50151577	-1	5.57387158287799	1.40663064583014	3.31194362101273e-07	6.94866958507061e-05
ENSG00000109787	ENSG00000109787	KLF3	4	38664196	38701042	1	9.0837391021499	6.67579245919265	3.40513307629225e-07	6.95994325702141e-05
ENSG00000175322	ENSG00000175322	ZNF519	18	14057457	14132490	-1	6.18120527802233	4.51738464739091	3.42770963591375e-07	6.95994325702141e-05
ENSG00000233913	ENSG00000233913	CTC-575D19.1	5	168616352	168616996	1	4.411830555999	-0.518402092266954	3.85823705552047e-07	7.73858839660306e-05
ENSG00000145990	ENSG00000145990	GFOD1	6	13357830	13487662	-1	8.50100677889568	3.43318400254328	4.17486725139616e-07	8.27277610647141e-05
ENSG00000183576	ENSG00000183576	SETD3	14	99397746	99480889	-1	11.8550726998541	4.71832232542108	4.26504345868718e-07	8.35085354345573e-05
ENSG00000205730	ENSG00000205730	ITPRIPL2	16	19113932	19121629	1	9.88362738836979	4.95497599276509	4.39651010167326e-07	8.50698842849648e-05
ENSG00000176438	ENSG00000176438	SYNE3	14	95407266	95475836	-1	5.22266268967343	2.28244519716959	4.52941090548621e-07	8.52285382575318e-05
ENSG00000203747	ENSG00000203747	FCGR3A	1	161541759	161550737	-1	14.1306180931014	6.95006722488438	4.50777378320144e-07	8.52285382575318e-05
ENSG00000221990	ENSG00000221990	EXOC3-AS1	5	441498	443160	-1	8.7674816595067	4.19879948880474	4.56016985873582e-07	8.52285382575318e-05
ENSG00000125498	ENSG00000125498	KIR2DL1	19	54769811	54784322	1	12.8332929945123	6.1116768474749	4.73838856204721e-07	8.75643558202141e-05
ENSG00000160439	ENSG00000160439	RDH13	19	55039108	55071291	-1	4.65784748611057	3.86963898440762	4.83730684198587e-07	8.83990951446018e-05
ENSG00000120334	ENSG00000120334	CENPL	1	173799550	173824720	-1	4.43640172734264	3.67229848530225	5.0883179108947e-07	8.99866286886937e-05
ENSG00000144401	ENSG00000144401	METTL21A	2	207580631	207625928	-1	2.43521449084028	4.08525502493602	5.01102813591409e-07	8.99866286886937e-05
ENSG00000184860	ENSG00000184860	SDR42E1	16	81988855	82011488	-1	8.87249981824249	4.65953979801927	5.08093459996749e-07	8.99866286886937e-05
ENSG00000130939	ENSG00000130939	UBE4B	1	10032832	10181239	1	5.14454969577066	2.32557760944741	5.25808715856073e-07	9.19997441455833e-05
ENSG00000168329	ENSG00000168329	CX3CR1	3	39263494	39281735	-1	12.4003820906688	6.40767139581	5.80606013623102e-07	0.000100518180063781
ENSG00000198393	ENSG00000198393	ZNF26	12	132986365	133032952	1	3.54173010161003	4.91476151047587	6.03839487000123e-07	0.000103451542111365
ENSG00000166452	ENSG00000166452	AKIP1	11	8911139	8920084	1	5.9702674688539	2.72323630802315	7.40092423394305e-07	0.000125487629768723
ENSG00000271851	ENSG00000271851	RP11-565F19.2	17	9553323	9555696	-1	4.68453664789847	3.04022866780656	8.10365181424579e-07	0.00013600077692745
ENSG00000165434	ENSG00000165434	PGM2L1	11	74330318	74398473	-1	4.07989991921243	2.74356862115257	8.75355299148046e-07	0.000143969686050879
ENSG00000173818	ENSG00000173818	ENDOV	17	80415165	80438086	1	10.2439675834867	4.1301776483588	8.67388053522319e-07	0.000143969686050879
ENSG00000255046	ENSG00000255046	RP11-297N6.4	8	11797928	11802568	-1	8.81653592230817	2.12725555476856	9.15737586022448e-07	0.000149120159181299
ENSG00000186376	ENSG00000186376	ZNF75D	X	135248920	135344087	-1	14.0877797767395	7.01841037674008	9.4689165408591e-07	0.000152681637595598
ENSG00000065989	ENSG00000065989	PDE4A	19	10416773	10469631	1	11.5740994575944	4.65009960314071	9.98169486289095e-07	0.000157605366481326
ENSG00000109618	ENSG00000109618	SEPSECS	4	25120014	25160442	-1	10.6649545824665	3.82952164346459	1.01575781887399e-06	0.000157605366481326
ENSG00000182318	ENSG00000182318	ZSCAN22	19	58327019	58342332	1	2.61949619480895	2.63433290455206	9.9634161627096e-07	0.000157605366481326
ENSG00000262001	ENSG00000262001	DLGAP1-AS2	18	3603000	3608336	1	6.97909605141904	1.26100512402607	1.01349535461575e-06	0.000157605366481326
ENSG00000184992	ENSG00000184992	BRI3BP	12	124993700	125031231	1	5.71448951850842	3.39040572207928	1.03128351259115e-06	0.000158518877865295
ENSG00000169718	ENSG00000169718	DUS1L	17	82057506	82065887	-1	12.8778769346933	6.25484553268387	1.07787858037757e-06	0.000161162445558817
ENSG00000176994	ENSG00000176994	SMCR8	17	18315310	18328055	1	5.4687374827832	3.03754508396035	1.07229792150359e-06	0.000161162445558817
ENSG00000204351	ENSG00000204351	SKIV2L	6	31959080	31969755	1	10.5262429777555	3.32557322545747	1.07196389381464e-06	0.000161162445558817
ENSG00000248593	ENSG00000248593	DSTNP2	12	6884682	6885786	1	8.03354902908094	1.68388914823748	1.15675146611381e-06	0.000171397219488052
ENSG00000150045	ENSG00000150045	KLRF1	12	9827481	9845007	1	13.4185325084156	6.82138061005333	1.19022880460284e-06	0.000174782974547347
ENSG00000123600	ENSG00000123600	METTL8	2	171317405	171434802	-1	-6.83465096075398	6.89981698209015	1.21140340647819e-06	0.000176318157755281
ENSG00000100596	ENSG00000100596	SPTLC2	14	77505997	77616773	-1	8.30274598663131	4.34830518316365	1.2513570298349e-06	0.000180535693593813
ENSG00000117592	ENSG00000117592	PRDX6	1	173477266	173488807	1	-11.468426334852	6.91608463830176	1.27905991677604e-06	0.000182927812619266
ENSG00000121542	ENSG00000121542	SEC22A	3	123201927	123274130	1	8.68435317979714	5.42687166832649	1.3065244299088e-06	0.000185244890506122
ENSG00000166225	ENSG00000166225	FRS2	12	69470349	69579789	1	13.0937184221094	6.19801827088774	1.3257945142979e-06	0.00018637044766374
ENSG00000146842	ENSG00000146842	TMEM209	7	130164715	130207770	-1	4.52256483533858	5.2893197094861	1.37977936025778e-06	0.000188197657017979
ENSG00000170989	ENSG00000170989	S1PR1	1	101236888	101241518	1	11.323453222333	4.09592019067553	1.3845635373731e-06	0.000188197657017979
ENSG00000202198	ENSG00000202198	RN7SK	6	52995620	52995950	1	9.51606262752846	3.68471523549036	1.35294459460374e-06	0.000188197657017979
ENSG00000234420	ENSG00000234420	ZNF37BP	10	42513510	42552822	-1	7.58970843894908	3.42772306680217	1.37383293502464e-06	0.000188197657017979
ENSG00000026103	ENSG00000026103	FAS	10	88990531	89015785	1	-13.8377566583089	7.26615235411391	1.47107885896833e-06	0.000198318311421739
ENSG00000210107	ENSG00000210107	MT-TQ	MT	4329	4400	-1	-3.21689424914612	1.20219617789486	1.53066166865459e-06	0.000204673109466358
ENSG00000112282	ENSG00000112282	MED23	6	131573966	131628229	-1	12.5162596953444	5.96597828551282	1.62322539475013e-06	0.000214897275505225
ENSG00000122741	ENSG00000122741	DCAF10	9	37800502	37867666	1	4.19191601700225	2.51937569689985	1.64602488757711e-06	0.000214897275505225
ENSG00000163428	ENSG00000163428	LRRC58	3	120324509	120349339	-1	4.42999986966232	5.80835092080942	1.65517203304439e-06	0.000214897275505225
ENSG00000255561	ENSG00000255561	FDXACB1	11	111874056	111881243	-1	10.8914018170609	5.82739194504215	1.65938797283174e-06	0.000214897275505225
ENSG00000143951	ENSG00000143951	WDPCP	2	63121383	63827843	-1	3.88004492852902	6.67532017200338	1.77211531163904e-06	0.000225937833569979
ENSG00000248544	ENSG00000248544	CTB-47B11.3	5	157375741	157384950	-1	6.72453797277445	3.7833309169869	1.76275114931289e-06	0.000225937833569979
ENSG00000125731	ENSG00000125731	SH2D3A	19	6752160	6767588	-1	4.79488373317393	4.45907578676932	1.90090167610639e-06	0.000238657479900166
ENSG00000268996	ENSG00000268996	MAN1B1-AS1	9	137084946	137086817	-1	6.38852802665943	2.1959984315851	1.8899578943683e-06	0.000238657479900166
ENSG00000144567	ENSG00000144567	FAM134A	2	219176225	219185479	1	9.43177843980928	5.06985086226698	1.92515398876376e-06	0.000239871270099982
ENSG00000204161	ENSG00000204161	C10orf128	10	49154725	49188585	-1	12.2868377117152	5.04320828860411	1.95109790372889e-06	0.000241275994155106
ENSG00000211714	ENSG00000211714	TRBV7-3	7	142384329	142384841	1	-3.28691857434846	-0.767344443684385	2.03596476880538e-06	0.000249891884720463
ENSG00000134545	ENSG00000134545	KLRC1	12	10442264	10454685	-1	10.6687029810261	5.55337506827635	2.07148412156837e-06	0.000252368143314334
ENSG00000123352	ENSG00000123352	SPATS2	12	49366584	49527424	1	3.95231810936418	3.43862545965261	2.22897978732337e-06	0.000267705807450989
ENSG00000166263	ENSG00000166263	STXBP4	17	54968727	55173632	1	4.73826877631563	3.28798763471345	2.22993224422602e-06	0.000267705807450989
ENSG00000171612	ENSG00000171612	SLC25A33	1	9539482	9585179	1	4.73428147111484	4.82741898875555	2.26429954180479e-06	0.000269861844667127
ENSG00000269930	ENSG00000269930	RP11-932O9.9	15	30616958	30617749	1	10.8125025459943	3.64453306477056	2.28340649637596e-06	0.000270181198891334
ENSG00000110911	ENSG00000110911	SLC11A2	12	50979401	51028566	-1	10.5984979793826	6.36479451640029	2.34674988820393e-06	0.000275692824366358
ENSG00000116005	ENSG00000116005	PCYOX1	2	70257386	70281191	1	7.76573050806189	5.63853979453094	2.40543007573108e-06	0.000280582329471979
ENSG00000119414	ENSG00000119414	PPP6C	9	125146573	125189939	-1	-12.868824513443	6.9155303594129	2.45491432191082e-06	0.000284337858115967
ENSG00000035403	ENSG00000035403	VCL	10	73995193	74121363	1	7.06011467616051	6.03818280027527	2.518602898122e-06	0.000287662929620921
ENSG00000258555	ENSG00000258555	SPECC1L-ADORA2A	22	24270898	24442356	1	11.2187069663946	6.30248853936974	2.50120295208869e-06	0.000287662929620921
ENSG00000158006	ENSG00000158006	PAFAH2	1	25959767	25998157	-1	8.91083024912828	3.69103347708984	2.57059355610801e-06	0.000291576222188335
ENSG00000269821	ENSG00000269821	KCNQ1OT1	11	2608328	2699994	-1	2.33133424417912	7.42864229318968	2.61236328414538e-06	0.000294284513248897
ENSG00000161036	ENSG00000161036	LRWD1	7	102464929	102473168	1	5.90477218279499	1.85894361407641	2.64709130387433e-06	0.000295911355917181
ENSG00000204131	ENSG00000204131	NHSL2	X	71910818	72161750	1	5.21837744337872	0.984090260463632	2.66588034654759e-06	0.000295911355917181
ENSG00000232677	ENSG00000232677	LINC00665	19	36313067	36331718	-1	4.30755988619062	2.00278092688249	2.68078020500152e-06	0.000295911355917181
ENSG00000237094	ENSG00000237094	RP4-669L17.10	1	365389	501617	-1	8.13598685425713	1.97868946857918	2.70479657364401e-06	0.000296571928311487
ENSG00000149289	ENSG00000149289	ZC3H12C	11	110093361	110171841	1	12.5243015722704	5.2770351872062	2.78679486672434e-06	0.000303539173331227
ENSG00000013523	ENSG00000013523	ANGEL1	14	76786178	76826246	-1	12.089882477746	4.84866189589963	2.80752694415028e-06	0.000303785497700261
ENSG00000070540	ENSG00000070540	WIPI1	17	68420948	68457513	-1	5.67607594666139	5.06647203439588	2.82836329101371e-06	0.000304039810766683
ENSG00000011523	ENSG00000011523	CEP68	2	65056366	65087004	1	5.24114104124436	3.83424993612718	2.84763653448762e-06	0.000304123883654012
ENSG00000134215	ENSG00000134215	VAV3	1	107571160	107965144	-1	11.8696557996955	5.74455791471557	2.90266002091093e-06	0.000308000318476916
ENSG00000121864	ENSG00000121864	ZNF639	3	179322991	179338583	1	7.41460700885949	3.89784069268685	3.0273267580846e-06	0.000313843059068575
ENSG00000128271	ENSG00000128271	ADORA2A	22	24417879	24442360	1	11.737343745735	4.50521374451517	3.03039249501352e-06	0.000313843059068575
ENSG00000165914	ENSG00000165914	TTC7B	14	90524564	90816479	-1	5.81099668360197	3.5171760820224	3.03405158338319e-06	0.000313843059068575
ENSG00000260853	ENSG00000260853	RP11-264B17.2	16	28956687	28966883	-1	5.71065190284575	1.1131204651709	3.03055620960208e-06	0.000313843059068575
ENSG00000088766	ENSG00000088766	CRLS1	20	6006090	6040053	1	11.597892992271	5.08356830535236	3.07183048358519e-06	0.00031411964508227
ENSG00000112033	ENSG00000112033	PPARD	6	35342558	35428191	1	4.33264696031619	1.2022363932558	3.08062729958115e-06	0.00031411964508227
ENSG00000128159	ENSG00000128159	TUBGCP6	22	50217689	50244992	-1	3.98042753317162	3.88604105632267	3.09402216229876e-06	0.00031411964508227
ENSG00000162378	ENSG00000162378	ZYG11B	1	52726467	52827342	1	5.52937805723558	3.87353173171613	3.2798607126417e-06	0.000329788144059448
ENSG00000211829	ENSG00000211829	TRDC	14	22462932	22465787	1	13.0499168336398	6.0993722628171	3.28845720348692e-06	0.000329788144059448
ENSG00000090661	ENSG00000090661	CERS4	19	8206736	8262421	1	7.6498416192118	2.2439835196651	3.32461533706004e-06	0.000331393626961373
ENSG00000145375	ENSG00000145375	SPATA5	4	122923074	123319450	1	7.6362689437083	5.15954995400897	3.3523965608667e-06	0.000332149796605871
ENSG00000175414	ENSG00000175414	ARL10	5	176365468	176401865	1	6.74792430151756	3.49200443422504	3.37477214503503e-06	0.000332364535744857
ENSG00000128833	ENSG00000128833	MYO5C	15	52192322	52295798	-1	8.65285579448397	2.89383850930025	3.51580683291611e-06	0.000344193303458162
ENSG00000259639	ENSG00000259639	RP11-184D12.1	15	35939167	36252257	-1	4.55712464984323	0.719820632305823	3.75509629019678e-06	0.000365444193401577
ENSG00000198839	ENSG00000198839	ZNF277	7	112206588	112343096	1	10.7593693800538	5.77661664323521	3.81353375216737e-06	0.000368948174246451
ENSG00000171101	ENSG00000171101	SIGLEC17P	19	51167328	51173524	1	9.59692078002077	2.45013577939073	3.88730573486581e-06	0.00037388606679145
ENSG00000131196	ENSG00000131196	NFATC1	18	79395856	79529325	1	11.4343460440991	4.30214457387934	3.92318838228027e-06	0.000374435794097832
ENSG00000176406	ENSG00000176406	RIMS2	8	103500748	104256094	1	2.24045106625014	1.989490080982	3.96131988648524e-06	0.000374435794097832
ENSG00000185024	ENSG00000185024	BRF1	14	105209286	105315589	-1	10.3661743326548	3.98556734937475	3.95882743731602e-06	0.000374435794097832
ENSG00000176463	ENSG00000176463	SLCO3A1	15	91853695	92172435	1	12.2295695073465	5.35019169298176	4.06871838326145e-06	0.000382389778568577
ENSG00000210154	ENSG00000210154	MT-TD	MT	7518	7585	1	-3.73827043740258	0.131301706092538	4.24066473484915e-06	0.000396285300534455
ENSG00000080947	ENSG00000080947	CROCCP3	1	16467436	16499257	-1	4.2953800788299	1.80485341235867	4.43797333363722e-06	0.000412380493888878
ENSG00000127311	ENSG00000127311	HELB	12	66302545	66347645	1	-5.06411955686549	5.89159868206901	4.53809501772055e-06	0.000415635649525773
ENSG00000219529	ENSG00000219529	AP000580.1	11	77813319	77813676	-1	7.02846976054453	1.61458085636531	4.50117341618329e-06	0.000415635649525773
ENSG00000226380	ENSG00000226380	AC058791.1	7	130876809	130913310	-1	7.01369469602618	6.02650965764604	4.54881844194316e-06	0.000415635649525773
ENSG00000210112	ENSG00000210112	MT-TM	MT	4402	4469	1	-3.27693574671659	1.40088862166393	4.59075475504627e-06	0.000417149963846663
ENSG00000090316	ENSG00000090316	MAEA	4	1289851	1340147	1	5.09666628836749	4.56878270157643	4.6242839071221e-06	0.00041788789791449
ENSG00000121621	ENSG00000121621	KIF18A	11	28020620	28108308	-1	9.74802416303671	2.58947214168917	4.7261423062321e-06	0.000423325336149722
ENSG00000170873	ENSG00000170873	MTSS1	8	124550790	124728429	-1	9.80165651964853	4.79066396011096	4.73593128543497e-06	0.000423325336149722
ENSG00000170385	ENSG00000170385	SLC30A1	1	211571568	211578742	-1	12.7546809950098	5.93527727103045	4.91640588592601e-06	0.000435755071405339
ENSG00000223508	ENSG00000223508	RPL23AP53	8	213186	232231	-1	6.97950144597225	0.8282346349639	4.95447184001936e-06	0.000435755071405339
ENSG00000281005	ENSG00000281005	LINC00921	16	3263743	3267567	1	9.69032225790182	3.24819041550354	4.93542356152394e-06	0.000435755071405339
